"Participant_Private_ID","age","gender","ethnic","religiosity","education","education-quantised","children","SES","comment","ethnic2","ethnic-other","ethnic3"
"8993165",45,"man","ישראלי/ת","1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",3,7,NA,NA,NA,NA
"8993173",NA,"woman","ישראלי/ת","1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",3,9,NA,NA,NA,NA
"8993179",44,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",1,6,NA,NA,NA,NA
"8993155",44,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",NA,8,NA,NA,NA,NA
"8993178",37,"woman","ישראלי/ת","2","השלמתי תואר ראשון באוניברסיטה","6",2,4,NA,"יהודי/ת",NA,NA
"8993198",48,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",3,9,NA,NA,NA,NA
"8993225",34,"woman","ישראלי/ת","5","השלמתי תואר ראשון באוניברסיטה","6",2,5,NA,"יהודי/ת",NA,NA
"8993238",53,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",3,9,NA,NA,NA,NA
"8993237",31,"man","ישראלי/ת","4","השלמתי תואר ראשון באוניברסיטה","6",0,7,NA,"יהודי/ת",NA,NA
"8993251",27,"woman","ישראלי/ת","6","השלמתי תואר ראשון באוניברסיטה","6",0,6,NA,"יהודי/ת",NA,NA
"8993269",44,"woman","ישראלי/ת","1","השלמתי בית ספר תיכון","4",3,4,NA,"יהודי/ת",NA,NA
"8993337",39,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",2,8,NA,"יהודי/ת",NA,NA
"8993342",31,"woman","ישראלי/ת","2","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",NA,6,NA,"יהודי/ת",NA,NA
"8993343",42,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",2,8,NA,NA,NA,NA
"8993349",26,"woman","ישראלי/ת","1","חלק מתואר ראשון באוניברסיטה","5",0,6,NA,NA,NA,NA
"8993354",35,"woman","ישראלי/ת","2","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",2,7,"היה נחמד",NA,NA,NA
"8993387",40,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",3,7,NA,NA,NA,NA
"8993401",26,"woman","ישראלי/ת","2","חלק מתואר ראשון באוניברסיטה","5",0,NA,NA,NA,NA,NA
"8993400",47,"man","ישראלי/ת","1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",3,9,"אין הערות","יהודי/ת",NA,NA
"8993370",30,"man","ישראלי/ת","1","השלמתי בית ספר תיכון","4",2,6,NA,NA,NA,NA
"8993488",38,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",3,8,NA,NA,NA,NA
"8993506",38,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",1,6,NA,"יהודי/ת",NA,NA
"8993524",39,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",2,7,NA,NA,NA,NA
"8993559",43,"woman","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",3,9,NA,NA,NA,NA
"8993572",51,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",3,7,NA,NA,NA,NA
"8993626",34,"man","ישראלי/ת","1","השלמתי תואר ראשון באוניברסיטה","6",1,8,NA,"יהודי/ת",NA,NA
"8993624",68,"man",NA,NA,"חלק מתואר ראשון באוניברסיטה","5",2,8,"רהוט וברור","יהודי/ת",NA,NA
"8993634",39,"man","ישראלי/ת","4","השלמתי תואר ראשון באוניברסיטה","6",NA,5,NA,NA,NA,NA
"8993647",28,"man","ישראלי/ת","5","חלק מתואר ראשון באוניברסיטה","5",0,9,"מהיר מידי הזמן תגובה",NA,NA,NA
"8993646",55,"man","ישראלי/ת","1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",3,8,NA,NA,NA,NA
"8993662",44,"woman",NA,"2","השלמתי תואר ראשון באוניברסיטה","6",2,7,NA,"יהודי/ת",NA,NA
"8993742",71,"woman","ישראלי/ת","1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",2,8,NA,NA,NA,NA
"8993823",NA,"woman","ישראלי/ת","3","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",3,7,NA,NA,NA,NA
"8993933",NA,"woman","ישראלי/ת","2","חלק מתואר ראשון באוניברסיטה","5",0,6,NA,"יהודי/ת",NA,NA
"8993938",NA,"woman","ישראלי/ת","1","השלמתי בית ספר תיכון","4",0,7,"הכל היה בסדר אין לי מה להוסיף",NA,NA,NA
"8993929",54,"woman","ישראלי/ת","1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",3,6,NA,NA,NA,NA
"8993685",33,"woman","ישראלי/ת","4","השלמתי תואר ראשון באוניברסיטה","6",0,7,NA,NA,NA,NA
"8993992",39,"woman","ישראלי/ת","5","השלמתי בית ספר תיכון","4",2,3,NA,"יהודי/ת",NA,NA
"8994003",49,"woman",NA,"1","למדתי לימודים מתקדמים מעבר לתואר ראשון","7",2,7,NA,"יהודי/ת",NA,NA
