"Participant_Public_ID","Participant_Private_ID","Mode","Condition","target_sex","First_Image","Second_Image","Identity","Identity_answer","Correct_Identity","Occupation","Social_Status","Reaction_time"
110467357,8989222,"test","FKD","female","IFD_F-090-N.png","IFD_F-059-N.png","Diff","Diff","yes","אדריכלית","HIGH",719.0970000000088
110467357,8989222,"test","FKD","female","IFD_F-005-N.png","IFD_F-005-N.png","Same","Same","yes","עורכת דין","HIGH",702.4440000000031
110467357,8989222,"test","FKD","female","IFD_F-024-N.png","IFD_F-024-N.png","Same","Same","yes","פיזיקאית","HIGH",618.8160000000062
110467357,8989222,"test","FKD","female","IFD_F-004-N.png","IFD_F-010-N.png","Diff","Diff","yes","מנקה","LOW",769.3810000000085
110467357,8989222,"test","FKD","female","IFD_F-012-N.png","IFD_F-060-N.png","Diff","Diff","yes","רופאת שיניים","HIGH",802.8570000000036
110467357,8989222,"test","FKD","female","IFD_F-065-N.png","IFD_F-065-N.png","Same","Same","yes","עובדת אשפה","LOW",719.2200000000012
110467357,8989222,"test","FKD","female","IFD_F-029-N.png","IFD_F-007-N.png","Diff","Diff","yes","סמנכלית כספים","HIGH",719.1899999999732
110467357,8989222,"test","FKD","female","IFD_F-030-N.png","IFD_F-099-N.png","Diff","Same","no","מדענית נתונים","HIGH",602.0889999999781
110467357,8989222,"test","FKD","female","IFD_F-115-N.png","IFD_F-073-N.png","Diff","Same","no","מדענית","HIGH",752.698000000004
110467357,8989222,"test","FKD","female","IFD_F-054-N.png","IFD_F-054-N.png","Same","Same","yes","נהגת מונית","LOW",652.2680000000109
110467357,8989222,"test","FKD","female","IFD_F-094-N.png","IFD_F-094-N.png","Same","Same","yes","פועלת בניין","LOW",568.6609999999928
110467357,8989222,"test","FKD","female","IFD_F-095-N.png","IFD_F-095-N.png","Same","Same","yes","נהגת משאית","LOW",518.4929999999877
110467357,8989222,"test","FKD","female","IFD_F-092-N.png","IFD_F-092-N.png","Same","Same","yes","מרצה באוניברסיטה","HIGH",568.68299999999
110467357,8989222,"test","FKD","female","IFD_F-048-N.png","IFD_F-048-N.png","Same","Same","yes","רופאה","HIGH",568.68299999999
110467357,8989222,"test","FKD","female","IFD_F-072-N.png","IFD_F-116-N.png","Diff","Diff","yes","אדריכלית","HIGH",434.8660000000091
110467357,8989222,"test","FKD","female","IFD_F-112-N.png","IFD_F-112-N.png","Same","Same","yes","קצבית","LOW",853.0309999999881
110467357,8989222,"test","FKD","female","IFD_F-088-N.png","IFD_F-064-N.png","Diff","Diff","yes","פחחית","LOW",786.127999999997
110467357,8989222,"test","FKD","female","IFD_F-076-N.png","IFD_F-063-N.png","Diff","Diff","yes","עורכת דין","HIGH",769.3520000000135
110467357,8989222,"test","FKD","female","IFD_F-070-N.png","IFD_F-070-N.png","Same","Same","yes","קופאית","LOW",568.7000000000116
110467357,8989222,"test","FKD","female","IFD_F-026-N.png","IFD_F-026-N.png","Same","Same","yes","עובדת מפעל","LOW",568.7010000000009
110467357,8989222,"test","FKD","female","IFD_F-058-N.png","IFD_F-058-N.png","Same","Same","yes","רוכלת","LOW",585.4320000000298
110467357,8989222,"test","FKD","female","IFD_F-056-N.png","IFD_F-038-N.png","Diff","Diff","yes","פיזיקאית","HIGH",685.7110000000102
110467357,8989222,"test","FKD","female","IFD_F-096-N.png","IFD_F-096-N.png","Same","Same","yes","רופאת שיניים","HIGH",719.2119999999995
110467357,8989222,"test","FKD","female","IFD_F-082-N.png","IFD_F-082-N.png","Same","Same","yes","פסיכולוגית","HIGH",535.2049999999581
110467357,8989222,"test","FKD","female","IFD_F-052-N.png","IFD_F-052-N.png","Same","Same","yes","מנקה","LOW",468.2970000000205
110467357,8989222,"test","FKD","female","IFD_F-023-N.png","IFD_F-104-N.png","Diff","Diff","yes","עובדת אשפה","LOW",635.5139999999665
110467357,8989222,"test","FKD","female","IFD_F-055-N.png","IFD_F-055-N.png","Same","Same","yes","נהגת מונית","LOW",752.560999999987
110467357,8989222,"test","FKD","female","IFD_F-040-N.png","IFD_F-080-N.png","Diff","Diff","yes","פועלת בניין","LOW",786.0480000000098
110467357,8989222,"test","FKD","female","IFD_F-109-N.png","IFD_F-131-N.png","Diff","Diff","yes","נהגת משאית","LOW",886.454000000027
110467357,8989222,"test","FKD","female","IFD_F-034-N.png","IFD_F-034-N.png","Same","Same","yes","סמנכלית כספים","HIGH",602.1830000000191
110467357,8989222,"test","FKD","female","IFD_F-078-N.png","IFD_F-022-N.png","Diff","Diff","yes","מדענית נתונים","HIGH",719.2910000000265
110467357,8989222,"test","FKD","female","IFD_F-057-N.png","IFD_F-110-N.png","Diff","Diff","yes","קצבית","LOW",786.1469999999972
110467357,8989222,"test","FKD","female","IFD_F-071-N.png","IFD_F-125-N.png","Diff","Diff","yes","פחחית","LOW",669.0030000000261
110467357,8989222,"test","FKD","female","IFD_F-093-N.png","IFD_F-011-N.png","Diff","Diff","yes","קופאית","LOW",652.2669999999925
110467357,8989222,"test","FKD","female","IFD_F-079-N.png","IFD_F-079-N.png","Same","Same","yes","מדענית","HIGH",719.1739999999991
110467357,8989222,"test","FKD","female","IFD_F-081-N.png","IFD_F-009-N.png","Diff","Diff","yes","מרצה באוניברסיטה","HIGH",652.295999999973
110467357,8989222,"test","FKD","female","IFD_F-016-N.png","IFD_F-016-N.png","Same","Same","yes","עובדת מפעל","LOW",535.2129999999888
110467357,8989222,"test","FKD","female","IFD_F-053-N.png","IFD_F-068-N.png","Diff","Diff","yes","רוכלת","LOW",635.564000000013
110467357,8989222,"test","FKD","female","IFD_F-098-N.png","IFD_F-098-N.png","Same","Same","yes","רופאה","HIGH",485.015000000014
110467350,8990803,"test","FKD","female","IFD_F-058-N.png","IFD_F-058-N.png","Same","Same","yes","מנקה","LOW",400.0120000000024
110467350,8990803,"test","FKD","female","IFD_F-116-N.png","IFD_F-116-N.png","Same","Same","yes","אדריכלית","HIGH",416.2679999999964
110467350,8990803,"test","FKD","female","IFD_F-065-N.png","IFD_F-088-N.png","Diff","Diff","yes","עורכת דין","HIGH",532.3760000000038
110467350,8990803,"test","FKD","female","IFD_F-052-N.png","IFD_F-063-N.png","Diff","Diff","yes","פיזיקאית","HIGH",565.7319999999891
110467350,8990803,"test","FKD","female","IFD_F-006-N.png","IFD_F-094-N.png","Diff","Diff","yes","עובדת אשפה","LOW",632.7179999999935
110467350,8990803,"test","FKD","female","IFD_F-024-N.png","IFD_F-010-N.png","Diff","Diff","yes","רופאת שיניים","HIGH",732.8919999999925
110467350,8990803,"test","FKD","female","IFD_F-057-N.png","IFD_F-057-N.png","Same","Same","yes","פסיכולוגית","HIGH",582.75900000002
110467350,8990803,"test","FKD","female","IFD_F-038-N.png","IFD_F-054-N.png","Diff","Diff","yes","סמנכלית כספים","HIGH",599.4100000000035
110467350,8990803,"test","FKD","female","IFD_F-022-N.png","IFD_F-022-N.png","Same","Same","yes","מדענית נתונים","HIGH",516.4770000000135
110467350,8990803,"test","FKD","female","IFD_F-012-N.png","IFD_F-106-N.png","Diff","Diff","yes","מדענית","HIGH",549.3619999999937
110467350,8990803,"test","FKD","female","IFD_F-109-N.png","IFD_F-125-N.png","Diff","Diff","yes","פועלת בניין","LOW",599.4379999999946
110467350,8990803,"test","FKD","female","IFD_F-096-N.png","IFD_F-115-N.png","Diff","Diff","yes","נהגת משאית","LOW",732.8399999999965
110467350,8990803,"test","FKD","female","IFD_F-082-N.png","IFD_F-112-N.png","Diff","Diff","yes","קצבית","LOW",549.6499999999942
110467350,8990803,"test","FKD","female","IFD_F-095-N.png","IFD_F-009-N.png","Diff","Diff","yes","מרצה באוניברסיטה","HIGH",516.2360000000044
110467350,8990803,"test","FKD","female","IFD_F-098-N.png","IFD_F-050-N.png","Diff","Diff","yes","פחחית","LOW",566.1169999999984
110467350,8990803,"test","FKD","female","IFD_F-073-N.png","IFD_F-103-N.png","Diff","Diff","yes","קופאית","LOW",582.6019999999844
110467350,8990803,"test","FKD","female","IFD_F-026-N.png","IFD_F-004-N.png","Diff","Diff","yes","רופאה","HIGH",483.2260000000242
110467350,8990803,"test","FKD","female","IFD_F-023-N.png","IFD_F-023-N.png","Same","Same","yes","עובדת מפעל","LOW",499.9099999999744
110467350,8990803,"test","FKD","female","IFD_F-059-N.png","IFD_F-059-N.png","Same","Same","yes","רוכלת","LOW",449.28999999997905
110467350,8990803,"test","FKD","female","IFD_F-110-N.png","IFD_F-070-N.png","Diff","Diff","yes","אדריכלית","HIGH",615.9789999999921
110467350,8990803,"test","FKD","female","IFD_F-040-N.png","IFD_F-040-N.png","Same","Same","yes","מנקה","LOW",566.310999999987
110467350,8990803,"test","FKD","female","IFD_F-030-N.png","IFD_F-093-N.png","Diff","Diff","yes","עורכת דין","HIGH",582.7999999999884
110467350,8990803,"test","FKD","female","IFD_F-011-N.png","IFD_F-011-N.png","Same","Same","yes","עובדת אשפה","LOW",599.4110000000219
110467350,8990803,"test","FKD","female","IFD_F-092-N.png","IFD_F-092-N.png","Same","Same","yes","פיזיקאית","HIGH",499.2360000000335
110467350,8990803,"test","FKD","female","IFD_F-102-N.png","IFD_F-027-N.png","Diff","Diff","yes","נהגת מונית","LOW",549.8539999999921
110467350,8990803,"test","FKD","female","IFD_F-056-N.png","IFD_F-068-N.png","Diff","Diff","yes","רופאת שיניים","HIGH",649.125
110467350,8990803,"test","FKD","female","IFD_F-083-N.png","IFD_F-083-N.png","Same","Same","yes","פסיכולוגית","HIGH",482.789000000048
110467350,8990803,"test","FKD","female","IFD_F-076-N.png","IFD_F-055-N.png","Diff","Diff","yes","פועלת בניין","LOW",649.6669999999576
110467350,8990803,"test","FKD","female","IFD_F-034-N.png","IFD_F-104-N.png","Diff","Diff","yes","נהגת משאית","LOW",599.7239999999874
110467350,8990803,"test","FKD","female","IFD_F-048-N.png","IFD_F-048-N.png","Same","Same","yes","קצבית","LOW",699.2350000000442
110467350,8990803,"test","FKD","female","IFD_F-078-N.png","IFD_F-078-N.png","Same","Same","yes","פחחית","LOW",666.0489999999991
110467350,8990803,"test","FKD","female","IFD_F-029-N.png","IFD_F-029-N.png","Same","Same","yes","סמנכלית כספים","HIGH",566.2620000000461
110467350,8990803,"test","FKD","female","IFD_F-079-N.png","IFD_F-079-N.png","Same","Same","yes","מדענית נתונים","HIGH",466.2150000000256
110467350,8990803,"test","FKD","female","IFD_F-072-N.png","IFD_F-072-N.png","Same","Same","yes","מדענית","HIGH",415.88200000004144
110467350,8990803,"test","FKD","female","IFD_F-064-N.png","IFD_F-064-N.png","Same","Same","yes","מרצה באוניברסיטה","HIGH",532.8310000000056
110467350,8990803,"test","FKD","female","IFD_F-005-N.png","IFD_F-005-N.png","Same","Same","yes","קופאית","LOW",382.8099999999977
110467350,8990803,"test","FKD","female","IFD_F-131-N.png","IFD_F-131-N.png","Same","Same","yes","עובדת מפעל","LOW",483.03899999998976
110467350,8990803,"test","FKD","female","IFD_F-037-N.png","IFD_F-037-N.png","Same","Same","yes","רוכלת","LOW",565.7200000000303
110467350,8990803,"test","FKD","female","IFD_F-016-N.png","IFD_F-053-N.png","Diff","Diff","yes","רופאה","HIGH",666.2619999999879
110470575,8991690,"test","MDK","male","IFD_M-020-N.png","IFD_M-020-N.png","Same","Same","yes","אדריכל","HIGH",683.3319999999949
110470575,8991690,"test","MDK","male","IFD_M-100-N.png","IFD_M-100-N.png","Same","Same","yes","עורך דין","HIGH",733.2179999999935
110470575,8991690,"test","MDK","male","CFD_M-200-N.png","CFD_M-200-N.png","Same","Same","yes","פיזיקאי","HIGH",766.3990000000049
110470575,8991690,"test","MDK","male","IFD_M-062-N.png","IFD_M-032-N.png","Diff","Diff","yes","מנקה","LOW",649.9020000000019
110470575,8991690,"test","MDK","male","IFD_M-044-N.png","IFD_M-087-N.png","Diff","Diff","yes","עובד אשפה","LOW",566.7049999999872
110470575,8991690,"test","MDK","male","IFD_M-018-N.png","CFD_M-221-N.png","Diff","Diff","yes","נהג מונית","LOW",516.5140000000101
